agent_id,agent_name,Assassin 1.1,Assassin 1.2,Assassin 1.3,Assassin 1.4,Assassin 1.5,Assassin 1.6,Assassin Slot 2.1,Assassin Slot 2.2,Assassin Slot 2.3,Assassin Slot 2.4,Assassin Slot 2.5,Assassin Slot 2.6,Berserker 1.1,Berserker 1.2,Berserker 1.3,Berserker 1.4,Berserker 1.5,Berserker 1.6,Berserker Slot 2.1,Berserker Slot 2.2,Berserker Slot 2.3,Berserker Slot 2.4,Berserker Slot 2.5,Berserker Slot 2.6,Biosculptor 1.1,Biosculptor 1.2,Biosculptor 1.3,Biosculptor 1.4,Biosculptor 1.5,Biosculptor 1.6,Biosculptor Slot 2.1,Biosculptor Slot 2.2,Biosculptor Slot 2.3,Biosculptor Slot 2.4,Biosculptor Slot 2.5,Biosculptor Slot 2.6,Engineer 1.1,Engineer 1.2,Engineer 1.3,Engineer 1.4,Engineer 1.5,Engineer 1.6,Engineer Slot 2.1,Engineer Slot 2.2,Engineer Slot 2.3,Engineer Slot 2.4,Engineer Slot 2.5,Engineer Slot 2.6,Explorer 1.1,Explorer 1.2,Explorer 1.3,Explorer 1.4,Explorer 1.5,Explorer 1.6,Explorer Slot 2.1,Explorer Slot 2.2,Explorer Slot 2.3,Explorer Slot 2.4,Explorer Slot 2.5,Explorer Slot 2.6,Sniper 1.1,Sniper 1.2,Sniper 1.3,Sniper 1.4,Sniper 1.5,Sniper 1.6,Sniper Slot 2.1,Sniper Slot 2.2,Sniper Slot 2.3,Sniper Slot 2.4,Sniper Slot 2.5,Sniper Slot 2.6,Paladin 1.1,Paladin 1.2,Paladin 1.3,Paladin 1.4,Paladin 1.5,Paladin 1.6,Paladin Slot 2.1,Paladin Slot 2.2,Paladin Slot 2.3,Paladin Slot 2.4,Paladin Slot 2.5,Paladin Slot 2.6,Sentinel 1.1,Sentinel 1.2,Sentinel 1.3,Sentinel 1.4,Sentinel 1.5,Sentinel 1.6,Sentinel Slot 2.1,Sentinel Slot 2.2,Sentinel Slot 2.3,Sentinel Slot 2.4,Sentinel Slot 2.5,Sentinel Slot 2.6,Trapmaster 1.1,Trapmaster 1.2,Trapmaster 1.3,Trapmaster 1.4,Trapmaster 1.5,Trapmaster 1.6,Trapmaster Slot 2.1,Trapmaster Slot 2.2,Trapmaster Slot 2.3,Trapmaster Slot 2.4,Trapmaster Slot 2.5,Trapmaster Slot 2.6
3189,Clarian-Helianor the Praeses,,,,,,,,,,,,,Chaos Surfer,Frenzy,Kabooooom!,Drums of War,Seethe,Brute,Anarchy,Micro Explosives,War Cry,Thrill of Battle,"Gym, Tan, Laundry",Primal Scream,Mitosis,Flux,Extra Phalanges,Nanomedics,Apotheosis,Accelerate,Breath I,Breath III,Harvesting Augment,Consume,Breath IV,Rapid Regeneration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Shadow of Darkness,Vanishing Act,Scouting Drones,Sophomore,Junior,Elemental Extraction,Blur,Cloaking Drone,Quick Thinker,Decoy,Revelation,Brain Drain
3194,The Stable Brother Drusus,,,,,,,,,,,,,Anarchy,Battle Roar,Enhanced Strength,Titan's Force,Kabooooom!,Primal Scream,Chaos Diver,Frenzy,War Cry,Micro Explosives,Drums of War,Brute,,,,,,,,,,,,,Sightsee,Muse,Deep Insights,Overclock,Aegis,Brain Drain,Mainframe,Fortify,Quick Thinker,Forbidden Knowledge,Revelation,Reinforcing Plates,Haste,Moment,Nimble,Pulsar,Improved Extraction,"Creighton, AI Advisor",Sharder Mk I,Dimension Shift,Home Field Advantage,Speedrun,Shard Research,Accelerate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3032,"Aurexon ""Influential"" Titus",,,,,,,,,,,,,,,,,,,,,,,,,Breath I,Fortified Muscles,Harvesting Sensors,Harvesting Augment,Rapid Regeneration,Apotheosis,Mitosis,Extra Phalanges,Breath III,Breath IV,Accelerate,Lightspeed,Fortify,Immovable,Deep Insights,Quick Thinker,Forbidden Knowledge,Blast Armor,Muse,Sightsee,Shardstorm Accelerant,Aegis,Revelation,Quantum Core,,,,,,,,,,,,,Charged Ammo,Eagle Eye,Hyper Propulsion,Speed Loader,Barbed Ammo,Boots of the Dervish,Fragmenting Ammo,Marksman,Hypersonic Payload,Sharpshooter,Repositioning,Deadshot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1754,Perrand from Gnarled Esmercendre,,,,,,,,,,,,,,,,,,,,,,,,,Bioreloader,Mitosis,Harvesting Sensors,Metamorphosis,Lightspeed,Breath IV,Flux,Breath I,Nanomedics,Accelerate,Apotheosis,Rapid Regeneration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Beef,Fortify,Guardian,Beefup,Resolute,Praetorian,Order Armor,Honor Guard,Aegis,Planned Retreat,Turtle Up,Reinforcing Plates,Elemental Velocity,Cloaking Drone,Sophomore,Sidestep,Revelation,Blurring Movement,Shadow of Darkness,Freshman,Fog Trap,Junior,Brain Drain,Now You See Me...
3779,Monsieur Sanson,,,,,,,,,,,,,,,,,,,,,,,,,Breath I,Bioreloader,Metamorphosis,Harvesting Sensors,Extra Phalanges,Lightspeed,Podiatric Nanobots,Harvesting Augment,Health Augment,Breath III,Accelerate,Breath IV,,,,,,,,,,,,,,,,,,,,,,,,,Charged Ammo,Hyper Propulsion,Sprinting Burst,Speed Loader,Leg Day,Skedaddle,Fragmenting Ammo,Eagle Eye,Boots of the Dervish,Sharpshooter,Repositioning,Deadshot,,,,,,,,,,,,,,,,,,,,,,,,,Elemental Velocity,Shadow of Darkness,Freshman,Quick Thinker,Brain Drain,Junior,Vanishing Act,Blur,Sidestep,Scouting Drones,Revelation,Elemental Extraction
2357,Ursule Brévant from the Challenging Desert,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fortify,Mainframe,Muse,Quick Thinker,Shardstorm Accelerant,Brain Drain,Sightsee,Scent of Weakness,Aegis,Deep Insights,Quantum Core,Revelation,Sharder Mk I,Pulsar,Shard Research,Time Dilation,Nimble,Cheat Code,Haste,Sharder Mk II,Repositioning,Moment,Accelerate,Marathoner,,,,,,,,,,,,,Breath I,Nanomedics,Battle School Faculty,Breath II,Gift of the Shards,Hunter,Order Armor,Whirlwind,Healthy Habits,Second Wind,Room to Grow,Steel Tornado,,,,,,,,,,,,,,,,,,,,,,,,
2449,"Léontin Vaucelles, Docteur of Ethics",,,,,,,,,,,,,Anarchy,Frenzy,Drums of War,Titan's Force,Micro Explosives,"Gym, Tan, Laundry",Battle Roar,Enhanced Strength,Thrill of Battle,Madhouse,Kabooooom!,Heavy Hands,,,,,,,,,,,,,,,,,,,,,,,,,Haste,Fast Travel,Shard Research,Sharder Mk II,Improved Extraction,Accelerate,Sharder Mk I,Nimble,Dimension Shift,Moment,Time Warp,Shard Frenzy,,,,,,,,,,,,,Breath I,Titan Blood,Battle School Faculty,Second Wind,Whirlwind,Steel Tornado,Breath II,Arm of Justice,Respect the Fallen,Valor's Reward,Hunter,Breath IV,,,,,,,,,,,,,,,,,,,,,,,,
3306,Phyraelle Lunathorn from Colossal Auroloren,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Muse,Scent of Weakness,Overclock,Deep Insights,Senior,Brain Drain,Sightsee,Fortify,Forbidden Knowledge,Aegis,Reinforcing Plates,Revelation,Fast Travel,Cover Expert,Dimension Shift,Pulsar,Nimble,Cheat Code,Haste,Moment,Sharder Mk II,Time Dilation,Shard Research,Accelerate,,,,,,,,,,,,,Refreshing Jog,Breath II,Whirlwind,Nanomedics,Room to Grow,Breath IV,Powered Weapon,Titan Blood,Arm of Justice,Vow of Revenge,Indomitable,Steel Tornado,,,,,,,,,,,,,,,,,,,,,,,,
3379,Caerithra Celestaril the Prime,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Scent of Weakness,Fortify,Forbidden Knowledge,Shardstorm Accelerant,Senior,Brain Drain,Immovable,Muse,Aegis,Quantum Core,Revelation,Blast Armor,Sharder Mk I,Haste,Pulsar,Home Field Advantage,Nimble,Sharder Mk II,Fast Travel,Flux,Moment,Fast Feet,Shard Research,Shard Frenzy,,,,,,,,,,,,,Order Armor,The Guilty Flee,Battle School Faculty,Titan Blood,Steel Tornado,Indomitable,Powered Weapon,Refreshing Jog,Nanomedics,Hunter,Room to Grow,Breath IV,,,,,,,,,,,,,,,,,,,,,,,,
2118,Psilady Eldarien Marawynne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sharder Mk I,Opportunity Window,Moment,Shard Research,Shard Frenzy,Accelerate,Haste,Nimble,Pulsar,Dimension Shift,Marathoner,Matrix Building,,,,,,,,,,,,,Breath I,Breath II,Battle School Faculty,Second Wind,Room to Grow,Breath IV,Titan Blood,Whirlwind,Gift of the Shards,Steel Tornado,Light's Avatar,Hunter,,,,,,,,,,,,,Blur,Decoy,Fade Into The Night,Sophomore,Scouting Drones,Brain Drain,Shadow of Darkness,Freshman,Fog Trap,Quick Thinker,Revelation,Junior
